Chr	Start	End	Strand	Feature	ID	Description	No. Sublocations	No. Probes	Difference	Mean Galaxy106-[R1_G7control_K27me3.bam].bam	StDev Galaxy106-[R1_G7control_K27me3.bam].bam	Mean Galaxy119-[R4_G7_EPZ_K27me3.bam].bam	StDev Galaxy119-[R4_G7_EPZ_K27me3.bam].bam
4	54658015	54738557	+	KIT-202	ENSP00000390987	KIT proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]	21	1	0.5080211162567139	3.7295928	0.0	3.2215717	0.0
4	54658015	54738557	+	KIT-201	ENSP00000288135	KIT proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]	21	1	0.5080211162567139	3.7295928	0.0	3.2215717	0.0
5	176810751	176879886	+	UNC5A-201	ENSP00000332737	unc-5 netrin receptor A [Source:HGNC Symbol;Acc:HGNC:12567]	15	1	0.7140631675720215	5.6938953	0.0	4.979832	0.0
5	176810751	176879886	+	UNC5A-202	ENSP00000421795	unc-5 netrin receptor A [Source:HGNC Symbol;Acc:HGNC:12567]	16	1	0.7140631675720215	5.6938953	0.0	4.979832	0.0
5	180603192	180649545	-	FLT4-201	ENSP00000261937	fms related receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	30	1	1.1464719772338867	6.847328	0.0	5.700856	0.0
5	180608132	180649545	-	FLT4-206	ENSP00000426057	fms related receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	30	1	1.1464719772338867	6.847328	0.0	5.700856	0.0
5	180608281	180649545	-	FLT4-202	ENSP00000377016	fms related receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	30	1	1.1464719772338867	6.847328	0.0	5.700856	0.0
5	180614086	180618884	-	FLT4-209	ENSP00000421535	fms related receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	4	1	1.1464719772338867	6.847328	0.0	5.700856	0.0
6	41638750	41653474	+	MDFI-205	ENSP00000413226	MyoD family inhibitor [Source:HGNC Symbol;Acc:HGNC:6967]	4	1	0.7583246231079102	5.3135757	0.0	4.555251	0.0
6	41638750	41653528	+	MDFI-204	ENSP00000393881	MyoD family inhibitor [Source:HGNC Symbol;Acc:HGNC:6967]	4	1	0.7583246231079102	5.3135757	0.0	4.555251	0.0
6	41638750	41653575	+	MDFI-203	ENSP00000362142	MyoD family inhibitor [Source:HGNC Symbol;Acc:HGNC:6967]	4	1	0.7583246231079102	5.3135757	0.0	4.555251	0.0
6	41638750	41649653	+	MDFI-207	ENSP00000406600	MyoD family inhibitor [Source:HGNC Symbol;Acc:HGNC:6967]	3	1	0.7583246231079102	5.3135757	0.0	4.555251	0.0
6	41638750	41653575	+	MDFI-201	ENSP00000230321	MyoD family inhibitor [Source:HGNC Symbol;Acc:HGNC:6967]	4	1	0.7583246231079102	5.3135757	0.0	4.555251	0.0
6	41638750	41653575	+	MDFI-202	ENSP00000362141	MyoD family inhibitor [Source:HGNC Symbol;Acc:HGNC:6967]	3	1	0.7583246231079102	5.3135757	0.0	4.555251	0.0
6	41638750	41649743	+	MDFI-208	ENSP00000411829	MyoD family inhibitor [Source:HGNC Symbol;Acc:HGNC:6967]	3	1	0.7583246231079102	5.3135757	0.0	4.555251	0.0
6	41638750	41653444	+	MDFI-206	ENSP00000403587	MyoD family inhibitor [Source:HGNC Symbol;Acc:HGNC:6967]	3	1	0.7583246231079102	5.3135757	0.0	4.555251	0.0
7	101162793	101164843	-	VGF-203	ENSP00000480817	VGF nerve growth factor inducible [Source:HGNC Symbol;Acc:HGNC:12684]	3	1	1.2011094093322754	5.1617904	0.0	3.960681	0.0
7	101162996	101164843	-	VGF-201	ENSP00000249330	VGF nerve growth factor inducible [Source:HGNC Symbol;Acc:HGNC:12684]	1	1	1.2011094093322754	5.1617904	0.0	3.960681	0.0
7	101162996	101164843	-	VGF-202	ENSP00000400884	VGF nerve growth factor inducible [Source:HGNC Symbol;Acc:HGNC:12684]	1	1	1.2011094093322754	5.1617904	0.0	3.960681	0.0
8	120538877	120811843	-	SNTB1-201	ENSP00000378965	syntrophin beta 1 [Source:HGNC Symbol;Acc:HGNC:11168]	7	1	0.5063536167144775	3.0140152	0.0	2.5076616	0.0
8	120538877	120811843	-	SNTB1-202	ENSP00000431124	syntrophin beta 1 [Source:HGNC Symbol;Acc:HGNC:11168]	7	1	0.5063536167144775	3.0140152	0.0	2.5076616	0.0
8	120551143	120811843	-	SNTB1-206	ENSP00000497707	syntrophin beta 1 [Source:HGNC Symbol;Acc:HGNC:11168]	5	1	0.5063536167144775	3.0140152	0.0	2.5076616	0.0
8	120811759	120811843	-	SNTB1-205	ENSP00000429292	syntrophin beta 1 [Source:HGNC Symbol;Acc:HGNC:11168]	1	1	0.5063536167144775	3.0140152	0.0	2.5076616	0.0
9	98944062	99069886	+	COL15A1-201	ENSP00000364140	collagen type XV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2192]	42	1	0.5913233757019043	4.979838	0.0	4.3885145	0.0
9	98944193	99069886	+	COL15A1-205	ENSP00000483455	collagen type XV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2192]	42	1	0.5913233757019043	4.979838	0.0	4.3885145	0.0
10	100746261	100827619	+	PAX2-201	ENSP00000347385	paired box 2 [Source:HGNC Symbol;Acc:HGNC:8616]	10	2	0.6928102970123291	5.3791637	1.1964233	4.6863537	0.94169617
10	100746261	100827095	+	PAX2-203	ENSP00000359319	paired box 2 [Source:HGNC Symbol;Acc:HGNC:8616]	10	2	0.6928102970123291	5.3791637	1.1964233	4.6863537	0.94169617
10	100746261	100827619	+	PAX2-202	ENSP00000355069	paired box 2 [Source:HGNC Symbol;Acc:HGNC:8616]	10	2	0.6928102970123291	5.3791637	1.1964233	4.6863537	0.94169617
10	100746261	100786970	+	PAX2-204	ENSP00000398652	paired box 2 [Source:HGNC Symbol;Acc:HGNC:8616]	6	1	0.872929573059082	6.225163	0.0	5.3522334	0.0
10	100746261	100827619	+	PAX2-205	ENSP00000396259	paired box 2 [Source:HGNC Symbol;Acc:HGNC:8616]	11	2	0.6928102970123291	5.3791637	1.1964233	4.6863537	0.94169617
10	100749691	100824654	+	PAX2-208	ENSP00000452489	paired box 2 [Source:HGNC Symbol;Acc:HGNC:8616]	7	2	0.6928102970123291	5.3791637	1.1964233	4.6863537	0.94169617
10	103601816	103855266	-	SH3PXD2A-203	ENSP00000358789	SH3 and PX domains 2A [Source:HGNC Symbol;Acc:HGNC:23664]	15	1	0.636831521987915	3.6634579	0.0	3.0266263	0.0
10	103601816	103801297	-	SH3PXD2A-204	ENSP00000395781	SH3 and PX domains 2A [Source:HGNC Symbol;Acc:HGNC:23664]	13	1	0.636831521987915	3.6634579	0.0	3.0266263	0.0
10	103601816	103855266	-	SH3PXD2A-202	ENSP00000348215	SH3 and PX domains 2A [Source:HGNC Symbol;Acc:HGNC:23664]	14	1	0.636831521987915	3.6634579	0.0	3.0266263	0.0
10	123136051	123137731	+	HMX3-201	ENSP00000350549	H6 family homeobox 3 [Source:HGNC Symbol;Acc:HGNC:5019]	2	1	0.6596999168395996	5.379665	0.0	4.719965	0.0
11	43925342	43943273	+	C11orf96-201	ENSP00000498932	chromosome 11 open reading frame 96 [Source:HGNC Symbol;Acc:HGNC:38675]	4	1	0.6083440780639648	5.0960755	0.0	4.4877315	0.0
11	43942905	43943273	+	C11orf96-202	ENSP00000479976	chromosome 11 open reading frame 96 [Source:HGNC Symbol;Acc:HGNC:38675]	1	1	0.6083440780639648	5.0960755	0.0	4.4877315	0.0
11	45649688	45650923	-	CHST1-201	ENSP00000309270	carbohydrate sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:1969]	1	1	0.5927174091339111	3.4010384	0.0	2.808321	0.0
11	57460866	57476911	+	RTN4RL2-201	ENSP00000335397	reticulon 4 receptor like 2 [Source:HGNC Symbol;Acc:HGNC:23053]	3	1	0.5378642082214355	5.0521083	0.0	4.514244	0.0
11	61518627	61580820	-	SYT7-201	ENSP00000263846	synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514]	9	1	1.0529670715332031	5.039127	0.0	3.9861598	0.0
11	61518627	61580820	-	SYT7-206	ENSP00000444201	synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514]	10	1	1.0529670715332031	5.039127	0.0	3.9861598	0.0
11	61518627	61580820	-	SYT7-203	ENSP00000439694	synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514]	13	1	1.0529670715332031	5.039127	0.0	3.9861598	0.0
11	61518627	61580820	-	SYT7-209	ENSP00000444568	synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514]	10	1	1.0529670715332031	5.039127	0.0	3.9861598	0.0
11	61518627	61580820	-	SYT7-208	ENSP00000444019	synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514]	12	1	1.0529670715332031	5.039127	0.0	3.9861598	0.0
11	61518627	61580820	-	SYT7-202	ENSP00000437720	synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514]	11	1	1.0529670715332031	5.039127	0.0	3.9861598	0.0
11	61528011	61580820	-	SYT7-210	ENSP00000443576	synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514]	5	1	1.0529670715332031	5.039127	0.0	3.9861598	0.0
11	61546638	61580820	-	SYT7-204	ENSP00000438171	synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514]	5	1	1.0529670715332031	5.039127	0.0	3.9861598	0.0
11	61546638	61580820	-	SYT7-205	ENSP00000441184	synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514]	5	1	1.0529670715332031	5.039127	0.0	3.9861598	0.0
11	64607196	64642803	-	NRXN2-202	ENSP00000301894	neurexin 2 [Source:HGNC Symbol;Acc:HGNC:8009]	7	3	1.0628821849822998	4.727108	1.4022076	3.6642258	1.6439471
11	64607196	64713699	-	NRXN2-203	ENSP00000366782	neurexin 2 [Source:HGNC Symbol;Acc:HGNC:8009]	19	3	1.0628821849822998	4.727108	1.4022076	3.6642258	1.6439471
11	64607196	64713699	-	NRXN2-201	ENSP00000265459	neurexin 2 [Source:HGNC Symbol;Acc:HGNC:8009]	22	3	1.0628821849822998	4.727108	1.4022076	3.6642258	1.6439471
11	64607196	64713699	-	NRXN2-204	ENSP00000386416	neurexin 2 [Source:HGNC Symbol;Acc:HGNC:8009]	22	3	1.0628821849822998	4.727108	1.4022076	3.6642258	1.6439471
11	64622753	64642686	-	NRXN2-206	ENSP00000407374	neurexin 2 [Source:HGNC Symbol;Acc:HGNC:8009]	4	2	1.0645272731781006	4.944737	1.9100258	3.8802094	2.2638972
11	75587059	75668369	-	MAP6-201	ENSP00000307093	microtubule associated protein 6 [Source:HGNC Symbol;Acc:HGNC:6868]	4	1	0.7530713081359863	5.190893	0.0	4.437822	0.0
11	75605804	75668369	-	MAP6-202	ENSP00000415108	microtubule associated protein 6 [Source:HGNC Symbol;Acc:HGNC:6868]	3	1	0.7530713081359863	5.190893	0.0	4.437822	0.0
12	113058193	113096939	+	DTX1-201	ENSP00000257600	deltex E3 ubiquitin ligase 1 [Source:HGNC Symbol;Acc:HGNC:3060]	9	1	0.6384520530700684	5.7456636	0.0	5.1072116	0.0
14	104138723	104179790	+	KIF26A-202	ENSP00000388241	kinesin family member 26A [Source:HGNC Symbol;Acc:HGNC:20226]	15	1	0.9007668495178223	8.071509	0.0	7.1707425	0.0
15	77614044	77632315	-	LINGO1-201	ENSP00000347451	leucine rich repeat and Ig domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21205]	2	1	0.5110530853271484	5.8248124	0.0	5.3137593	0.0
15	77614944	77634296	-	LINGO1-202	ENSP00000453780	leucine rich repeat and Ig domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21205]	2	1	0.5110530853271484	5.8248124	0.0	5.3137593	0.0
16	79585908	79599902	-	MAF-203	ENSP00000455097	MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]	2	1	0.9918893575668335	2.3899264	0.0	1.3980371	0.0
16	87603147	87696660	+	JPH3-201	ENSP00000284262	junctophilin 3 [Source:HGNC Symbol;Acc:HGNC:14203]	5	2	1.2162683010101318	4.261374	2.317147	3.0451055	2.9162583
17	7651519	7655895	+	ATP1B2-201	ENSP00000250111	ATPase Na+/K+ transporting subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:805]	7	1	0.5070686340332031	5.2194204	0.0	4.712352	0.0
17	49969469	49973943	+	DLX4-201	ENSP00000240306	distal-less homeobox 4 [Source:HGNC Symbol;Acc:HGNC:2917]	3	1	1.0283608436584473	6.7088766	0.0	5.680516	0.0
17	49973006	49973943	+	DLX4-202	ENSP00000410622	distal-less homeobox 4 [Source:HGNC Symbol;Acc:HGNC:2917]	2	1	1.0283608436584473	6.7088766	0.0	5.680516	0.0
17	49973006	49973350	+	DLX4-206	ENSP00000480366	distal-less homeobox 4 [Source:HGNC Symbol;Acc:HGNC:2917]	1	1	1.0283608436584473	6.7088766	0.0	5.680516	0.0
17	50112893	50124959	-	SAMD14-202	ENSP00000329144	sterile alpha motif domain containing 14 [Source:HGNC Symbol;Acc:HGNC:27312]	9	1	0.8846378326416016	2.929565	0.0	2.0449271	0.0
17	50112893	50124162	-	SAMD14-201	ENSP00000285206	sterile alpha motif domain containing 14 [Source:HGNC Symbol;Acc:HGNC:27312]	9	1	0.8846378326416016	2.929565	0.0	2.0449271	0.0
17	50112893	50124959	-	SAMD14-203	ENSP00000424474	sterile alpha motif domain containing 14 [Source:HGNC Symbol;Acc:HGNC:27312]	10	1	0.8846378326416016	2.929565	0.0	2.0449271	0.0
17	66964912	67031004	+	CACNG4-201	ENSP00000262138	calcium voltage-gated channel auxiliary subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:1408]	4	1	0.7297554016113281	6.029612	0.0	5.2998567	0.0
17	74432039	74447028	+	GPRC5C-212	ENSP00000499092	G protein-coupled receptor class C group 5 member C [Source:HGNC Symbol;Acc:HGNC:13309]	4	1	0.6727614402770996	6.548237	0.0	5.8754754	0.0
17	74433754	74447028	+	GPRC5C-213	ENSP00000498839	G protein-coupled receptor class C group 5 member C [Source:HGNC Symbol;Acc:HGNC:13309]	4	1	0.6727614402770996	6.548237	0.0	5.8754754	0.0
18	79396225	79527530	+	NFATC1-201	ENSP00000253506	nuclear factor of activated T cells 1 [Source:HGNC Symbol;Acc:HGNC:7775]	10	1	0.712883710861206	3.5909135	0.0	2.8780298	0.0
18	79396225	79467641	+	NFATC1-217	ENSP00000466194	nuclear factor of activated T cells 1 [Source:HGNC Symbol;Acc:HGNC:7775]	8	1	0.712883710861206	3.5909135	0.0	2.8780298	0.0
18	79396225	79467495	+	NFATC1-210	ENSP00000468111	nuclear factor of activated T cells 1 [Source:HGNC Symbol;Acc:HGNC:7775]	8	1	0.712883710861206	3.5909135	0.0	2.8780298	0.0
18	79396225	79527577	+	NFATC1-206	ENSP00000442435	nuclear factor of activated T cells 1 [Source:HGNC Symbol;Acc:HGNC:7775]	9	1	0.712883710861206	3.5909135	0.0	2.8780298	0.0
18	79396225	79527577	+	NFATC1-205	ENSP00000389377	nuclear factor of activated T cells 1 [Source:HGNC Symbol;Acc:HGNC:7775]	10	1	0.712883710861206	3.5909135	0.0	2.8780298	0.0
19	709147	746814	+	PALM-201	ENSP00000264560	paralemmin [Source:HGNC Symbol;Acc:HGNC:8594]	8	1	0.5767102241516113	2.8561027	0.0	2.2793925	0.0
19	709147	746814	+	PALM-202	ENSP00000341911	paralemmin [Source:HGNC Symbol;Acc:HGNC:8594]	9	1	0.5767102241516113	2.8561027	0.0	2.2793925	0.0
19	719656	726173	+	PALM-203	ENSP00000484090	paralemmin [Source:HGNC Symbol;Acc:HGNC:8594]	2	1	0.5767102241516113	2.8561027	0.0	2.2793925	0.0
19	1000438	1009602	+	GRIN3B-201	ENSP00000234389	glutamate ionotropic receptor NMDA type subunit 3B [Source:HGNC Symbol;Acc:HGNC:16768]	9	1	0.8959033489227295	4.6680646	0.0	3.7721612	0.0
19	1286169	1299945	+	EFNA2-201	ENSP00000215368	ephrin A2 [Source:HGNC Symbol;Acc:HGNC:3222]	4	1	0.6911125183105469	4.8412223	0.0	4.15011	0.0
19	17606054	17688199	-	UNC13A-202	ENSP00000429562	unc-13 homolog A [Source:HGNC Symbol;Acc:HGNC:23150]	44	1	1.2902154922485352	4.241225	0.0	2.9510093	0.0
19	17606054	17688199	-	UNC13A-205	ENSP00000447236	unc-13 homolog A [Source:HGNC Symbol;Acc:HGNC:23150]	45	1	1.2902154922485352	4.241225	0.0	2.9510093	0.0
19	17606054	17688199	-	UNC13A-206	ENSP00000447572	unc-13 homolog A [Source:HGNC Symbol;Acc:HGNC:23150]	42	1	1.2902154922485352	4.241225	0.0	2.9510093	0.0
19	17606054	17688199	-	UNC13A-204	ENSP00000446831	unc-13 homolog A [Source:HGNC Symbol;Acc:HGNC:23150]	40	1	1.2902154922485352	4.241225	0.0	2.9510093	0.0
19	18593566	18606656	-	CRLF1-201	ENSP00000376188	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	9	1	0.8632569313049316	6.079456	0.0	5.216199	0.0
19	18612959	18620536	+	TMEM59L-205	ENSP00000470879	transmembrane protein 59 like [Source:HGNC Symbol;Acc:HGNC:13237]	8	1	0.7539715766906738	6.662304	0.0	5.9083323	0.0
19	18612959	18620536	+	TMEM59L-201	ENSP00000262817	transmembrane protein 59 like [Source:HGNC Symbol;Acc:HGNC:13237]	8	1	0.7539715766906738	6.662304	0.0	5.9083323	0.0
19	41958929	41994076	-	AC010616.1-201	ENSP00000494711	novel protein, ATP1A3-RABAC1 readthrough	23	1	0.5028846263885498	3.8721626	0.0	3.369278	0.0
19	41966582	41994076	-	ATP1A3-201	ENSP00000411503	ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]	22	1	0.5028846263885498	3.8721626	0.0	3.369278	0.0
19	41966937	41994076	-	ATP1A3-214	ENSP00000498113	ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]	23	1	0.5028846263885498	3.8721626	0.0	3.369278	0.0
19	41966937	41994076	-	ATP1A3-207	ENSP00000444688	ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]	23	1	0.5028846263885498	3.8721626	0.0	3.369278	0.0
19	41966937	41993431	-	ATP1A3-206	ENSP00000437577	ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]	23	1	0.5028846263885498	3.8721626	0.0	3.369278	0.0
19	47430089	47466403	-	SLC8A2-201	ENSP00000236877	solute carrier family 8 member A2 [Source:HGNC Symbol;Acc:HGNC:11069]	9	1	0.9896502494812012	3.9599388	0.0	2.9702885	0.0
19	47430089	47457537	-	SLC8A2-203	ENSP00000437536	solute carrier family 8 member A2 [Source:HGNC Symbol;Acc:HGNC:11069]	8	1	0.9896502494812012	3.9599388	0.0	2.9702885	0.0
19	47457513	47466124	-	SLC8A2-204	ENSP00000472233	solute carrier family 8 member A2 [Source:HGNC Symbol;Acc:HGNC:11069]	2	1	0.9896502494812012	3.9599388	0.0	2.9702885	0.0
19	49390884	49417510	+	KASH5-201	ENSP00000404220	KASH domain containing 5 [Source:HGNC Symbol;Acc:HGNC:26520]	19	1	1.0764808654785156	7.3094044	0.0	6.2329235	0.0
19	49394543	49417510	+	KASH5-214	ENSP00000470819	KASH domain containing 5 [Source:HGNC Symbol;Acc:HGNC:26520]	18	1	1.0764808654785156	7.3094044	0.0	6.2329235	0.0
19	49422468	49423339	-	PTH2-201	ENSP00000270631	parathyroid hormone 2 [Source:HGNC Symbol;Acc:HGNC:30828]	2	1	1.0764808654785156	7.3094044	0.0	6.2329235	0.0
19	49426431	49428818	+	GFY-201	ENSP00000459439	golgi associated olfactory signaling regulator [Source:HGNC Symbol;Acc:HGNC:44663]	3	1	1.0764808654785156	7.3094044	0.0	6.2329235	0.0
19	49426431	49428818	+	GFY-202	ENSP00000478493	golgi associated olfactory signaling regulator [Source:HGNC Symbol;Acc:HGNC:44663]	3	1	1.0764808654785156	7.3094044	0.0	6.2329235	0.0
19	50819194	50823748	-	KLK1-201	ENSP00000301420	kallikrein 1 [Source:HGNC Symbol;Acc:HGNC:6357]	5	1	0.9359006881713867	7.8417325	0.0	6.905832	0.0
19	50822727	50823748	-	KLK1-202	ENSP00000472939	kallikrein 1 [Source:HGNC Symbol;Acc:HGNC:6357]	3	1	0.9359006881713867	7.8417325	0.0	6.905832	0.0
19	50825796	50831492	-	KLK15-201	ENSP00000314783	kallikrein related peptidase 15 [Source:HGNC Symbol;Acc:HGNC:20453]	5	1	0.9359006881713867	7.8417325	0.0	6.905832	0.0
19	50825796	50831492	-	KLK15-204	ENSP00000469315	kallikrein related peptidase 15 [Source:HGNC Symbol;Acc:HGNC:20453]	5	1	0.9359006881713867	7.8417325	0.0	6.905832	0.0
19	50825944	50831492	-	KLK15-203	ENSP00000471164	kallikrein related peptidase 15 [Source:HGNC Symbol;Acc:HGNC:20453]	4	1	0.9359006881713867	7.8417325	0.0	6.905832	0.0
19	50826755	50831492	-	KLK15-207	ENSP00000468856	kallikrein related peptidase 15 [Source:HGNC Symbol;Acc:HGNC:20453]	4	1	0.9359006881713867	7.8417325	0.0	6.905832	0.0
19	50827028	50827157	-	KLK15-205	ENSP00000472523	kallikrein related peptidase 15 [Source:HGNC Symbol;Acc:HGNC:20453]	1	1	0.9359006881713867	7.8417325	0.0	6.905832	0.0
19	53882495	53906895	+	PRKCG-201	ENSP00000263431	protein kinase C gamma [Source:HGNC Symbol;Acc:HGNC:9402]	18	1	0.8892803192138672	6.4509006	0.0	5.56162	0.0
20	2794190	2800572	-	CPXM1-201	ENSP00000369979	carboxypeptidase X, M14 family member 1 [Source:HGNC Symbol;Acc:HGNC:15771]	14	1	0.6509594917297363	5.6307917	0.0	4.979832	0.0
20	57170959	57266122	-	BMP7-201	ENSP00000379204	bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:HGNC:1074]	7	1	0.5967764854431152	6.27534	0.0	5.6785636	0.0
